                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.75195,                0.62871,                 1.1404,                0.92202,                0.80918,                0.90534,                0.72888,                0.76927,                0.61817,                 1.1135,               0.005446,               0.005446,               0.005446
                     49,                0.75027,                0.66721,                 1.1387,                0.86304,                0.80284,                0.83966,                0.66454,                 0.7957,                0.69428,                 1.1745,               0.005347,               0.005347,               0.005347
                     50,                0.78056,                 0.6785,                 1.1526,                0.85268,                0.77417,                0.82116,                0.63433,                0.79467,                0.96579,                 1.1914,               0.005248,               0.005248,               0.005248
                     51,                0.75327,                0.66204,                 1.1493,                0.95561,                0.86366,                 0.9378,                0.74308,                0.78037,                0.55273,                 1.1094,               0.005149,               0.005149,               0.005149
                     52,                0.71967,                0.61678,                 1.1093,                0.90873,                0.87806,                0.90008,                0.72167,                0.84782,                0.65551,                 1.1822,                0.00505,                0.00505,                0.00505
                     53,                0.74392,                0.61879,                 1.1358,                0.84532,                0.87696,                 0.9126,                0.75872,                 0.7214,                0.53632,                  1.154,               0.004951,               0.004951,               0.004951
                     54,                0.73293,                 0.6069,                   1.14,                0.92003,                0.87751,                0.92951,                0.73284,                0.78063,                0.59478,                 1.1667,               0.004852,               0.004852,               0.004852
                     55,                0.72633,                0.58962,                 1.1211,                0.92106,                0.83996,                0.93503,                0.76466,                0.73303,                0.63241,                 1.1001,               0.004753,               0.004753,               0.004753
                     56,                0.72223,                0.60262,                   1.12,                0.91797,                0.90839,                0.92766,                0.74248,                0.74561,                0.61669,                 1.1288,               0.004654,               0.004654,               0.004654
                     57,                0.72047,                0.60914,                 1.1178,                0.94712,                0.91316,                0.95568,                0.77591,                0.79069,                0.54553,                 1.1605,               0.004555,               0.004555,               0.004555
                     58,                0.70255,                0.57997,                 1.1122,                 0.9041,                 0.8805,                0.94561,                 0.7404,                0.78296,                0.65301,                 1.1672,               0.004456,               0.004456,               0.004456
                     59,                0.70255,                0.57395,                 1.1224,                0.91392,                 0.9158,                0.93362,                0.76398,                0.79468,                0.56998,                 1.1369,               0.004357,               0.004357,               0.004357
                     60,                0.69312,                0.57623,                 1.1094,                 0.9068,                0.85273,                0.89514,                  0.715,                0.87652,                0.89476,                 1.2418,               0.004258,               0.004258,               0.004258
                     61,                0.68807,                0.57563,                 1.0993,                0.86218,                0.85178,                0.89596,                0.72347,                0.79372,                0.69922,                 1.1538,               0.004159,               0.004159,               0.004159
                     62,                0.71866,                0.60999,                  1.119,                0.91429,                0.87163,                 0.9379,                0.76284,                0.74797,                0.59013,                 1.1254,                0.00406,                0.00406,                0.00406
                     63,                0.69731,                0.57054,                 1.1074,                0.88189,                0.90386,                0.91902,                0.74924,                0.82237,                0.53944,                 1.1898,               0.003961,               0.003961,               0.003961
                     64,                0.68382,                 0.5597,                 1.1004,                0.90477,                0.81405,                0.88322,                0.73504,                0.81521,                0.72318,                 1.1579,               0.003862,               0.003862,               0.003862
                     65,                0.67681,                0.54046,                 1.0918,                0.92011,                0.92453,                0.94267,                0.76556,                0.74895,                0.52609,                 1.0924,               0.003763,               0.003763,               0.003763
                     66,                0.67278,                0.54534,                 1.0936,                  0.943,                0.90921,                0.96019,                0.79518,                0.78476,                0.45916,                 1.1286,               0.003664,               0.003664,               0.003664
                     67,                0.67969,                0.55866,                  1.106,                 0.9271,                0.92429,                0.91546,                0.74741,                0.71259,                0.49611,                 1.0936,               0.003565,               0.003565,               0.003565
                     68,                0.68428,                 0.5643,                 1.1017,                0.93123,                0.92585,                0.93267,                0.75842,                0.69176,                0.45959,                 1.0667,               0.003466,               0.003466,               0.003466
